Volcano Name,Max. VEI,Country,Volcanic_Region,Volcano_type,Summit,Year,Latitude_value,Longitude_value
13,3,1,1,1,3260.0,2012,-8.119,114.056
116,2,1,1,1,875.0,2012,-8.32,121.708
46,2,10,11,1,2285.0,2012,50.861,155.565
50,1,1,1,5,2885.0,2012,-0.38,100.474
43,1,1,1,1,1715.0,2012,0.8,127.33
85,2,1,1,1,1580.0,2012,1.358,124.792
3,2,3,3,1,1745.0,2012,12.702,-87.004
117,0,34,5,1,2745.0,2012,-53.106,73.513
37,1,10,10,1,4754.0,2012,56.056,160.642
18,3,1,1,1,1785.0,2012,1.112,124.737
110,2,33,11,5,1158.0,2012,45.012,147.871
24,2,14,13,1,294.0,2012,-37.52,177.18
113,2,14,13,1,1978.0,2012,-39.157,175.632
118,0,14,13,4,-132.0,2012,-25.887,-177.188
119,1,14,13,4,-897.0,2012,-31.08,-179.033
41,2,1,1,1,1797.0,2012,2.781,125.407
120,2,29,8,5,4276.0,2012,1.22,-77.37
87,2,1,1,5,862.0,2012,-8.508,124.13
31,1,16,7,1,2334.0,2012,-5.05,151.33
121,2,16,7,3,724.0,2012,-5.576,150.516
83,1,3,3,3,594.0,2012,11.985,-86.165
50,1,1,1,5,2885.0,2012,-0.38,100.474
96,3,29,8,1,5279.0,2012,4.892,-75.324
21,1,8,3,5,1916.0,2012,10.83,-85.324
122,2,4,9,1,1307.0,2012,51.923,-177.168
123,1,6,6,3,169.0,2012,24.751,141.289
104,3,16,7,1,1839.0,2012,-4.649,145.964
14,2,8,3,1,3340.0,2012,10.025,-83.767
7,1,1,1,1,1431.0,2012,-8.274,123.508
107,2,31,14,2,191.0,2011,15.05,42.18
51,1,1,1,1,3800.0,2011,-1.697,101.264
43,2,1,1,1,1715.0,2011,0.8,127.33
124,3,12,8,1,5023.0,2011,-1.467,-78.442
52,2,21,14,2,3058.0,2011,-1.408,29.2
125,2,19,8,1,1905.0,2011,-45.9,-72.97
126,2,35,16,2,1500.0,2011,27.73,-18.03
127,1,22,7,1,797.0,2011,-14.27,167.5
21,1,8,3,5,1916.0,2011,10.83,-85.324
3,1,3,3,1,1745.0,2011,12.702,-87.004
50,2,1,1,5,2885.0,2011,-0.38,100.474
49,2,1,1,3,155.0,2011,-6.102,105.423
16,2,4,9,1,1730.0,2011,52.825,-169.944
18,3,1,1,1,1785.0,2011,1.112,124.737
85,2,1,1,1,1580.0,2011,1.358,124.792
64,0,23,14,1,2962.0,2011,-2.764,35.914
128,4,36,14,1,2218.0,2011,13.37,41.7
38,2,12,8,1,5286.0,2011,-2.005,-78.341
129,5,19,8,1,2236.0,2011,-40.59,-72.117
61,1,22,7,2,1496.0,2011,-15.389,167.835
130,4,30,17,3,1719.0,2011,64.416,-17.316
36,1,6,6,3,1592.0,2011,32.884,131.104
103,2,1,1,1,3657.0,2011,-8.108,112.922
115,2,4,6,1,570.0,2011,18.13,145.8
