,Volcano Name,Eruption Type,Max. VEI,Country,Volcanic_Region,Volcano_type,Latitude,Longitude,Summit,Year
7933,Asosan,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Caldera,32.884°N,131.104°E,1592,1239
7934,Hakusan,Confirmed Eruption,3,Japan,"Japan, Taiwan, Marianas",Stratovolcano,36.155°N,136.771°E,2702,1239
7935,Reykjanes,Confirmed Eruption,0,Iceland,Iceland and Arctic Ocean,Crater rows,63.817°N,22.717°W,140,1238
7936,Kirishimayama,Confirmed Eruption,4,Japan,"Japan, Taiwan, Marianas",Shield,31.934°N,130.862°E,1700,1235
7937,Reykjanes,Confirmed Eruption,3,Iceland,Iceland and Arctic Ocean,Crater rows,63.817°N,22.717°W,140,1231
7938,Zaozan [Zaosan],Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Complex,38.144°N,140.44°E,1841,1230
7939,Augustine,Confirmed Eruption,0,United States,Alaska,Lava dome,59.363°N,153.43°W,1252,1230
7940,Merapi,Confirmed Eruption,0,Indonesia,Indonesia,Stratovolcano,7.54°S,110.446°E,2910,1230
7941,Lipari,Confirmed Eruption,0,Italy,Mediterranean and Western Asia,Stratovolcano,38.49°N,14.933°E,590,1230
7942,Vulcano,Confirmed Eruption,0,Italy,Mediterranean and Western Asia,Stratovolcano,38.404°N,14.962°E,500,1230
7943,Emuruangogolak,Confirmed Eruption,0,Kenya,Africa and Red Sea,Shield,1.5°N,36.33°E,1285,1230
7944,Grimsvotn,Confirmed Eruption,0,Iceland,Iceland and Arctic Ocean,Caldera,64.416°N,17.316°W,1719,1230
7945,Axial Seamount,Confirmed Eruption,0,Undersea Features,Hawaii and Pacific Ocean,Submarine,45.95°N,130°W,-1410,1230
7946,Asosan,Uncertain Eruption,2,Japan,"Japan, Taiwan, Marianas",Caldera,32.884°N,131.104°E,1592,1229
7947,Zaozan [Zaosan],Confirmed Eruption,3,Japan,"Japan, Taiwan, Marianas",Complex,38.144°N,140.44°E,1841,1227
7948,Reykjanes,Confirmed Eruption,4,Iceland,Iceland and Arctic Ocean,Crater rows,63.817°N,22.717°W,140,1226
7949,Etna,Confirmed Eruption,0,Italy,Mediterranean and Western Asia,Stratovolcano,37.748°N,14.999°E,3320,1224
7950,Reykjanes,Confirmed Eruption,3,Iceland,Iceland and Arctic Ocean,Crater rows,63.817°N,22.717°W,140,1223
7951,Hekla,Confirmed Eruption,2,Iceland,Iceland and Arctic Ocean,Stratovolcano,63.983°N,19.666°W,1490,1222
7952,Etna,Discredited Eruption,0,Italy,Mediterranean and Western Asia,Stratovolcano,37.748°N,14.999°E,3320,1222
7953,Osorno,Confirmed Eruption,0,Chile,South America,Stratovolcano,41.105°S,72.496°W,2659,1220
7954,Puyehue-Cordon Caulle,Confirmed Eruption,0,Chile,South America,Stratovolcano,40.59°S,72.117°W,2236,1220
7955,Eldey,Confirmed Eruption,4,Iceland,Iceland and Arctic Ocean,Submarine,63.733°N,23°W,70,1211
7956,Reykjanes,Confirmed Eruption,0,Iceland,Iceland and Arctic Ocean,Crater rows,63.817°N,22.717°W,140,1211
7957,Reykjanes,Confirmed Eruption,3,Iceland,Iceland and Arctic Ocean,Crater rows,63.817°N,22.717°W,140,1210
