,Volcano Name,Eruption Type,Max. VEI,Country,Volcanic_Region,Volcano_type,Latitude,Longitude,Summit,Year
2831,Lamington,Confirmed Eruption,4,Papua New Guinea,Melanesia and Australia,Stratovolcano,8.95°S,148.15°E,1680,1951
2832,Ambrym,Confirmed Eruption,4,Vanuatu,Melanesia and Australia,Pyroclastic shield,16.25°S,168.12°E,1334,1950
2833,Kavachi,Confirmed Eruption,2,Solomon Islands,Melanesia and Australia,Submarine,8.991°S,157.979°E,-20,1950
2834,Etna,Confirmed Eruption,2,Italy,Mediterranean and Western Asia,Stratovolcano,37.748°N,14.999°E,3320,1950
2835,"Negro, Cerro",Confirmed Eruption,3,Nicaragua,México and Central America,Pyroclastic cone,12.506°N,86.702°W,728,1950
2836,Asosan,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Caldera,32.884°N,131.104°E,1592,1950
2837,Great Sitkin,Confirmed Eruption,0,United States,Alaska,Stratovolcano,52.076°N,176.13°W,1740,1950
2838,Arjuno-Welirang,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,7.733°S,112.575°E,3343,1950
2839,Gamkonora,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,1.38°N,127.53°E,1635,1950
2840,Marapi,Confirmed Eruption,2,Indonesia,Indonesia,Complex,0.38°S,100.474°E,2885,1950
2841,Asamayama,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",Complex,36.406°N,138.523°E,2568,1950
2842,Iliwerung,Confirmed Eruption,2,Indonesia,Indonesia,Complex,8.532°S,123.573°E,583,1950
2843,"Fournaise, Piton de la",Confirmed Eruption,2,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632,1950
2844,Pavlof,Confirmed Eruption,2,United States,Alaska,Stratovolcano,55.417°N,161.894°W,2493,1950
2845,Semeru,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,8.108°S,112.922°E,3657,1950
2846,Izu-Oshima,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Stratovolcano,34.724°N,139.394°E,746,1950
2847,Novarupta,Discredited Eruption,0,United States,Alaska,Caldera,58.27°N,155.157°W,841,1950
2848,Krakatau,Confirmed Eruption,2,Indonesia,Indonesia,Caldera,6.102°S,105.423°E,155,1950
2849,Trident,Confirmed Eruption,2,United States,Alaska,Stratovolcano,58.236°N,155.1°W,1864,1950
2850,Gareloi,Confirmed Eruption,1,United States,Alaska,Stratovolcano,51.79°N,178.794°W,1573,1950
2851,Northern EPR at 9.8°N,Confirmed Eruption,0,Undersea Features,Hawaii and Pacific Ocean,Submarine,9.83°N,104.3°W,-2500,1950
2852,Akita-Yakeyama,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",Stratovolcano,39.964°N,140.757°E,1366,1950
2853,Villarrica,Uncertain Eruption,0,Chile,South America,Stratovolcano,39.42°S,71.93°W,2847,1950
2854,Aira,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",Caldera,31.593°N,130.657°E,1117,1950
2855,Ruapehu,Confirmed Eruption,1,New Zealand,New Zealand to Fiji,Stratovolcano,39.28°S,175.57°E,2797,1950
2856,Tongariro,Confirmed Eruption,2,New Zealand,New Zealand to Fiji,Stratovolcano,39.157°S,175.632°E,1978,1950
2857,Mauna Loa,Confirmed Eruption,0,United States,Hawaii and Pacific Ocean,Shield,19.475°N,155.608°W,4170,1950
2858,Tengger Caldera,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,7.942°S,112.95°E,2329,1950
2859,Bristol Island,Confirmed Eruption,2,United Kingdom,Antarctica,Stratovolcano,59.017°S,26.533°W,1100,1950
2860,Kaba,Confirmed Eruption,1,Indonesia,Indonesia,Stratovolcano,3.522°S,102.615°E,1940,1950
2861,Iliboleng,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,8.342°S,123.258°E,1659,1950
2862,"Fournaise, Piton de la",Confirmed Eruption,2,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632,1950
2863,Azumayama,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",Stratovolcano,37.735°N,140.244°E,1949,1950
2864,Fukutoku-Oka-no-Ba,Uncertain Eruption,0,Japan,"Japan, Taiwan, Marianas",Submarine,24.285°N,141.481°E,-29,1950
2865,Heard,Confirmed Eruption,2,Australia,Middle East and Indian Ocean,Stratovolcano,53.106°S,73.513°E,2745,1950
2866,Kurikomayama,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Stratovolcano,38.961°N,140.788°E,1627,1950
2867,Galeras,Confirmed Eruption,2,Colombia,South America,Complex,1.22°N,77.37°W,4276,1950
2868,Santorini,Confirmed Eruption,2,Greece,Mediterranean and Western Asia,Shield,36.404°N,25.396°E,367,1950
2869,Great Sitkin,Confirmed Eruption,1,United States,Alaska,Stratovolcano,52.076°N,176.13°W,1740,1949
2870,Asosan,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Caldera,32.884°N,131.104°E,1592,1949
2871,Tacana,Confirmed Eruption,1,Mexico-Guatemala,México and Central America,Stratovolcano,15.132°N,92.109°W,4064,1949
2872,Etna,Confirmed Eruption,1,Italy,Mediterranean and Western Asia,Stratovolcano,37.748°N,14.999°E,3320,1949
2873,Etna,Confirmed Eruption,2,Italy,Mediterranean and Western Asia,Stratovolcano,37.748°N,14.999°E,3320,1949
2874,Fuego,Confirmed Eruption,2,Guatemala,México and Central America,Stratovolcano,14.473°N,90.88°W,3763,1949
2875,Marapi,Confirmed Eruption,2,Indonesia,Indonesia,Complex,0.38°S,100.474°E,2885,1949
2876,Suwanosejima,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Stratovolcano,29.638°N,129.714°E,796,1949
2877,Nakanoshima,Uncertain Eruption,1,Japan,"Japan, Taiwan, Marianas",Stratovolcano,29.859°N,129.857°E,979,1949
2878,"Fournaise, Piton de la",Uncertain Eruption,2,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632,1949
2879,Kuwae,Confirmed Eruption,3,Vanuatu,Melanesia and Australia,Caldera,16.829°S,168.536°E,-2,1949
2880,Lokon-Empung,Confirmed Eruption,1,Indonesia,Indonesia,Stratovolcano,1.358°N,124.792°E,1580,1949
2881,Karangetang,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,2.781°N,125.407°E,1797,1949
2882,Llaima,Confirmed Eruption,2,Chile,South America,Stratovolcano,38.692°S,71.729°W,3125,1949
2883,Akita-Yakeyama,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",Stratovolcano,39.964°N,140.757°E,1366,1949
2884,La Palma,Confirmed Eruption,2,Spain,Atlantic Ocean,Stratovolcano,28.57°N,17.83°W,2426,1949
2885,Iliboleng,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,8.342°S,123.258°E,1659,1949
2886,Trident,Confirmed Eruption,0,United States,Alaska,Stratovolcano,58.236°N,155.1°W,1864,1949
2887,"Negro, Cerro",Confirmed Eruption,2,Nicaragua,México and Central America,Pyroclastic cone,12.506°N,86.702°W,728,1949
2888,Purace,Confirmed Eruption,2,Colombia,South America,Stratovolcano,2.32°N,76.4°W,4650,1949
2889,Novarupta,Discredited Eruption,0,United States,Alaska,Caldera,58.27°N,155.157°W,841,1949
2890,Krakatau,Confirmed Eruption,2,Indonesia,Indonesia,Caldera,6.102°S,105.423°E,155,1949
2891,Klyuchevskoy,Confirmed Eruption,2,Russia,Kamchatka and Mainland Asia,Stratovolcano,56.056°N,160.642°E,4754,1949
2892,Marapi,Confirmed Eruption,2,Indonesia,Indonesia,Complex,0.38°S,100.474°E,2885,1949
2893,"Azul, Cerro",Confirmed Eruption,2,Chile,South America,Stratovolcano,35.653°S,70.761°W,3788,1949
2894,Iliwerung,Confirmed Eruption,2,Indonesia,Indonesia,Complex,8.532°S,123.573°E,583,1949
2895,Kuwae,Confirmed Eruption,3,Vanuatu,Melanesia and Australia,Caldera,16.829°S,168.536°E,-2,1949
2896,Asamayama,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Complex,36.406°N,138.523°E,2568,1949
2897,Tongariro,Confirmed Eruption,2,New Zealand,New Zealand to Fiji,Stratovolcano,39.157°S,175.632°E,1978,1949
2898,Niigata-Yakeyama,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Lava dome,36.921°N,138.036°E,2400,1949
2899,Iliboleng,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,8.342°S,123.258°E,1659,1949
2900,Mauna Loa,Confirmed Eruption,0,United States,Hawaii and Pacific Ocean,Shield,19.475°N,155.608°W,4170,1949
2901,Ruang,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,2.3°N,125.37°E,725,1949
2902,Gamkonora,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,1.38°N,127.53°E,1635,1949
2903,Rinjani,Confirmed Eruption,0,Indonesia,Indonesia,Stratovolcano,8.42°S,116.47°E,3726,1949
2904,Matthew Island,Confirmed Eruption,2,France,Melanesia and Australia,Stratovolcano,22.33°S,171.32°E,177,1949
2905,"Azul, Cerro",Confirmed Eruption,0,Ecuador,South America,Shield,0.92°S,91.408°W,1640,1949
2906,Bagana,Confirmed Eruption,3,Papua New Guinea,Melanesia and Australia,Lava cone,6.137°S,155.196°E,1855,1948
2907,Karangetang,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,2.781°N,125.407°E,1797,1948
2908,Gede-Pangrango,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,6.77°S,106.965°E,3008,1948
2909,Slamet,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,7.242°S,109.208°E,3428,1948
2910,Izalco,Confirmed Eruption,3,El Salvador,México and Central America,Stratovolcano,13.813°N,89.633°W,1950,1948
2911,Villarrica,Confirmed Eruption,3,Chile,South America,Stratovolcano,39.42°S,71.93°W,2847,1948
2912,Merapi,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,7.54°S,110.446°E,2910,1948
2913,Kuwae,Confirmed Eruption,2,Vanuatu,Melanesia and Australia,Caldera,16.829°S,168.536°E,-2,1948
2914,Camiguin,Confirmed Eruption,3,Philippines,Philippines and SE Asia,Stratovolcano,9.203°N,124.673°E,1552,1948
2915,Tongariro,Confirmed Eruption,2,New Zealand,New Zealand to Fiji,Stratovolcano,39.157°S,175.632°E,1978,1948
2916,Masaya,Confirmed Eruption,1,Nicaragua,México and Central America,Caldera,11.985°N,86.165°W,594,1948
2917,"Negra, Sierra",Confirmed Eruption,2,Ecuador,South America,Shield,0.83°S,91.17°W,1124,1948
2918,Klyuchevskoy,Confirmed Eruption,2,Russia,Kamchatka and Mainland Asia,Stratovolcano,56.056°N,160.642°E,4754,1948
2919,Aira,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",Caldera,31.593°N,130.657°E,1117,1948
2920,"Azul, Cerro",Confirmed Eruption,0,Ecuador,South America,Shield,0.92°S,91.408°W,1640,1948
2921,Telica,Confirmed Eruption,2,Nicaragua,México and Central America,Stratovolcano,12.606°N,86.84°W,1036,1948
2922,Ruapehu,Confirmed Eruption,1,New Zealand,New Zealand to Fiji,Stratovolcano,39.28°S,175.57°E,2797,1948
2923,Tongariro,Confirmed Eruption,2,New Zealand,New Zealand to Fiji,Stratovolcano,39.157°S,175.632°E,1978,1948
2924,Iliboleng,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,8.342°S,123.258°E,1659,1948
2925,Akutan,Confirmed Eruption,2,United States,Alaska,Stratovolcano,54.134°N,165.986°W,1303,1948
2926,Karthala,Confirmed Eruption,2,Comoros,Middle East and Indian Ocean,Shield,11.75°S,43.38°E,2361,1948
2927,Villarrica,Confirmed Eruption,2,Chile,South America,Stratovolcano,39.42°S,71.93°W,2847,1948
2928,Asosan,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",Caldera,32.884°N,131.104°E,1592,1948
2929,Iliwerung,Confirmed Eruption,2,Indonesia,Indonesia,Complex,8.532°S,123.573°E,583,1948
2930,"Negro, Cerro",Confirmed Eruption,2,Nicaragua,México and Central America,Pyroclastic cone,12.506°N,86.702°W,728,1948
2931,Nyamulagira,Confirmed Eruption,2,DR Congo,Africa and Red Sea,Shield,1.408°S,29.2°E,3058,1948
2932,Tengger Caldera,Confirmed Eruption,3,Indonesia,Indonesia,Stratovolcano,7.942°S,112.95°E,2329,1948
2933,"Fournaise, Piton de la",Confirmed Eruption,2,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632,1948
2934,Grimsvotn,Uncertain Eruption,0,Iceland,Iceland and Arctic Ocean,Caldera,64.416°N,17.316°W,1719,1948
2935,Wolf,Confirmed Eruption,2,Ecuador,South America,Shield,0.02°N,91.35°W,1710,1948
2936,Telica,Confirmed Eruption,2,Nicaragua,México and Central America,Stratovolcano,12.606°N,86.84°W,1036,1948
2937,Concepcion,Confirmed Eruption,1,Nicaragua,México and Central America,Stratovolcano,11.538°N,85.622°W,1700,1948
2938,Poas,Confirmed Eruption,1,Costa Rica,México and Central America,Stratovolcano,10.2°N,84.233°W,2697,1948
2939,Akita-Yakeyama,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",Stratovolcano,39.964°N,140.757°E,1366,1948
2940,Shishaldin,Confirmed Eruption,2,United States,Alaska,Stratovolcano,54.756°N,163.97°W,2857,1948
2941,Karangetang,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,2.781°N,125.407°E,1797,1947
2942,Gorely,Confirmed Eruption,2,Russia,Kamchatka and Mainland Asia,Caldera,52.559°N,158.03°E,1799,1947
2943,Shikotsu,Uncertain Eruption,1,Japan,"Japan, Taiwan, Marianas",Caldera,42.688°N,141.38°E,1320,1947
2944,Gede-Pangrango,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,6.77°S,106.965°E,3008,1947
2945,Soputan,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,1.112°N,124.737°E,1785,1947
2946,Galeras,Uncertain Eruption,2,Colombia,South America,Complex,1.22°N,77.37°W,4276,1947
2947,"Negro, Cerro",Confirmed Eruption,3,Nicaragua,México and Central America,Pyroclastic cone,12.506°N,86.702°W,728,1947
2948,Asamayama,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",Complex,36.406°N,138.523°E,2568,1947
2949,Iliamna,Uncertain Eruption,0,United States,Alaska,Stratovolcano,60.032°N,153.09°W,3053,1947
2950,Asosan,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Caldera,32.884°N,131.104°E,1592,1947
2951,Purace,Confirmed Eruption,2,Colombia,South America,Stratovolcano,2.32°N,76.4°W,4650,1947
2952,Karymsky,Confirmed Eruption,2,Russia,Kamchatka and Mainland Asia,Stratovolcano,54.049°N,159.443°E,1513,1947
2953,Sirung,Confirmed Eruption,2,Indonesia,Indonesia,Complex,8.508°S,124.13°E,862,1947
2954,Hekla,Confirmed Eruption,4,Iceland,Iceland and Arctic Ocean,Stratovolcano,63.983°N,19.666°W,1490,1947
2955,Bam,Confirmed Eruption,2,Papua New Guinea,Melanesia and Australia,Stratovolcano,3.613°S,144.818°E,685,1947
2956,Etna,Confirmed Eruption,1,Italy,Mediterranean and Western Asia,Stratovolcano,37.748°N,14.999°E,3320,1947
2957,Karangetang,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,2.781°N,125.407°E,1797,1947
2958,Erebus,Confirmed Eruption,2,Antarctica,Antarctica,Stratovolcano,77.53°S,167.17°E,3794,1947
2959,Etna,Confirmed Eruption,3,Italy,Mediterranean and Western Asia,Stratovolcano,37.748°N,14.999°E,3320,1947
2960,Mayon,Confirmed Eruption,2,Philippines,Philippines and SE Asia,Stratovolcano,13.257°N,123.685°E,2462,1947
2961,Niuafo'ou,Uncertain Eruption,0,Tonga,New Zealand to Fiji,Shield,15.6°S,175.63°W,260,1947
2962,Whakaari/White Island,Confirmed Eruption,2,New Zealand,New Zealand to Fiji,Stratovolcano,37.52°S,177.18°E,294,1947
2963,Farallon de Pajaros,Confirmed Eruption,0,United States,"Japan, Taiwan, Marianas",Stratovolcano,20.546°N,144.893°E,337,1947
2964,Tolbachik,Confirmed Eruption,2,Russia,Kamchatka and Mainland Asia,Shield,55.832°N,160.326°E,3611,1947
2965,Popocatepetl,Confirmed Eruption,1,Mexico,México and Central America,Stratovolcano,19.023°N,98.622°W,5393,1947
2966,Kita-Fukutokutai,Uncertain Eruption,0,Japan,"Japan, Taiwan, Marianas",Submarine,24.417°N,141.417°E,-73,1947
2967,"Fournaise, Piton de la",Confirmed Eruption,2,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632,1947
2968,Fuego,Confirmed Eruption,2,Guatemala,México and Central America,Stratovolcano,14.473°N,90.88°W,3763,1947
2969,Villarrica,Confirmed Eruption,1,Chile,South America,Stratovolcano,39.42°S,71.93°W,2847,1947
2970,Asosan,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Caldera,32.884°N,131.104°E,1592,1946
2971,Krakatau,Confirmed Eruption,2,Indonesia,Indonesia,Caldera,6.102°S,105.423°E,155,1946
2972,Bam,Discredited Eruption,0,Papua New Guinea,Melanesia and Australia,Stratovolcano,3.613°S,144.818°E,685,1946
2973,Manam,Confirmed Eruption,3,Papua New Guinea,Melanesia and Australia,Stratovolcano,4.08°S,145.037°E,1807,1946
2974,Akutan,Confirmed Eruption,2,United States,Alaska,Stratovolcano,54.134°N,165.986°W,1303,1946
2975,Kurikomayama,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Stratovolcano,38.961°N,140.788°E,1627,1946
2976,Ruapehu,Confirmed Eruption,1,New Zealand,New Zealand to Fiji,Stratovolcano,39.28°S,175.57°E,2797,1946
2977,Sarychev Peak,Confirmed Eruption,4,Russia,Kuril Islands,Stratovolcano,48.092°N,153.2°E,1496,1946
2978,Poas,Confirmed Eruption,1,Costa Rica,México and Central America,Stratovolcano,10.2°N,84.233°W,2697,1946
2979,Asamayama,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Complex,36.406°N,138.523°E,2568,1946
2980,Semeru,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,8.108°S,112.922°E,3657,1946
2981,Klyuchevskoy,Confirmed Eruption,2,Russia,Kamchatka and Mainland Asia,Stratovolcano,56.056°N,160.642°E,4754,1946
2982,Ruang,Discredited Eruption,0,Indonesia,Indonesia,Stratovolcano,2.3°N,125.37°E,725,1946
2983,Miravalles,Confirmed Eruption,1,Costa Rica,México and Central America,Stratovolcano,10.748°N,85.153°W,2028,1946
2984,Niuafo'ou,Confirmed Eruption,2,Tonga,New Zealand to Fiji,Shield,15.6°S,175.63°W,260,1946
2985,Karymsky,Confirmed Eruption,2,Russia,Kamchatka and Mainland Asia,Stratovolcano,54.049°N,159.443°E,1513,1946
2986,Great Sitkin,Uncertain Eruption,0,United States,Alaska,Stratovolcano,52.076°N,176.13°W,1740,1946
2987,Shishaldin,Confirmed Eruption,2,United States,Alaska,Stratovolcano,54.756°N,163.97°W,2857,1946
2988,Krakatau,Confirmed Eruption,1,Indonesia,Indonesia,Caldera,6.102°S,105.423°E,155,1946
2989,Llaima,Confirmed Eruption,2,Chile,South America,Stratovolcano,38.692°S,71.729°W,3125,1946
2990,"Fournaise, Piton de la",Confirmed Eruption,2,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632,1946
2991,Masaya,Confirmed Eruption,1,Nicaragua,México and Central America,Caldera,11.985°N,86.165°W,594,1946
2992,Asosan,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Caldera,32.884°N,131.104°E,1592,1946
2993,Kolokol Group,Confirmed Eruption,2,Russia,Kuril Islands,Stratovolcano,46.042°N,150.083°E,1328,1946
2994,Karymsky,Confirmed Eruption,2,Russia,Kamchatka and Mainland Asia,Stratovolcano,54.049°N,159.443°E,1513,1946
2995,Ruapehu,Confirmed Eruption,2,New Zealand,New Zealand to Fiji,Stratovolcano,39.28°S,175.57°E,2797,1946
2996,Kirishimayama,Uncertain Eruption,2,Japan,"Japan, Taiwan, Marianas",Shield,31.934°N,130.862°E,1700,1946
2997,Telica,Confirmed Eruption,2,Nicaragua,México and Central America,Stratovolcano,12.606°N,86.84°W,1036,1946
2998,Purace,Confirmed Eruption,2,Colombia,South America,Stratovolcano,2.32°N,76.4°W,4650,1946
2999,Myojinsho,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Submarine,31.888°N,139.918°E,11,1946
3000,Semeru,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,8.108°S,112.922°E,3657,1946
3001,Etna,Confirmed Eruption,1,Italy,Mediterranean and Western Asia,Stratovolcano,37.748°N,14.999°E,3320,1946
3002,Aira,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Caldera,31.593°N,130.657°E,1117,1946
3003,Moyorodake [Medvezhia],Uncertain Eruption,2,Japan - administered by Russia,Kuril Islands,Stratovolcano,45.389°N,148.838°E,1124,1946
3004,Mageik,Uncertain Eruption,2,United States,Alaska,Stratovolcano,58.195°N,155.253°W,2165,1946
3005,"Chillan, Nevados de",Confirmed Eruption,2,Chile,South America,Stratovolcano,36.868°S,71.378°W,3180,1946
3006,Tupungatito,Confirmed Eruption,2,Chile-Argentina,South America,Stratovolcano,33.425°S,69.797°W,5660,1946
3007,Kuchinoerabujima,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Stratovolcano,30.443°N,130.217°E,657,1945
3008,Grimsvotn,Uncertain Eruption,1,Iceland,Iceland and Arctic Ocean,Caldera,64.416°N,17.316°W,1719,1945
3009,Asosan,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Caldera,32.884°N,131.104°E,1592,1945
3010,Karymsky,Confirmed Eruption,2,Russia,Kamchatka and Mainland Asia,Stratovolcano,54.049°N,159.443°E,1513,1945
3011,Maly Semyachik,Confirmed Eruption,2,Russia,Kamchatka and Mainland Asia,Caldera,54.135°N,159.674°E,1527,1945
3012,Mutnovsky,Confirmed Eruption,2,Russia,Kamchatka and Mainland Asia,Complex,52.449°N,158.196°E,2288,1945
3013,Klyuchevskoy,Confirmed Eruption,3,Russia,Kamchatka and Mainland Asia,Stratovolcano,56.056°N,160.642°E,4754,1945
3014,Semeru,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,8.108°S,112.922°E,3657,1945
3015,Etna,Confirmed Eruption,1,Italy,Mediterranean and Western Asia,Stratovolcano,37.748°N,14.999°E,3320,1945
3016,Okmok,Confirmed Eruption,2,United States,Alaska,Shield,53.43°N,168.13°W,1073,1945
3017,"Fournaise, Piton de la",Confirmed Eruption,2,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632,1945
3018,Llaima,Confirmed Eruption,3,Chile,South America,Stratovolcano,38.692°S,71.729°W,3125,1945
3019,Ruapehu,Confirmed Eruption,3,New Zealand,New Zealand to Fiji,Stratovolcano,39.28°S,175.57°E,2797,1945
3020,Great Sitkin,Confirmed Eruption,2,United States,Alaska,Stratovolcano,52.076°N,176.13°W,1740,1945
3021,Avachinsky,Confirmed Eruption,4,Russia,Kamchatka and Mainland Asia,Stratovolcano,53.256°N,158.836°E,2717,1945
3022,Lautaro,Confirmed Eruption,1,Chile,South America,Stratovolcano,49.019°S,73.504°W,3542,1945
3023,Calbuco,Confirmed Eruption,0,Chile,South America,Stratovolcano,41.33°S,72.618°W,1974,1945
3024,"Chillan, Nevados de",Uncertain Eruption,0,Chile,South America,Stratovolcano,36.868°S,71.378°W,3180,1945
3025,Bagana,Confirmed Eruption,2,Papua New Guinea,Melanesia and Australia,Lava cone,6.137°S,155.196°E,1855,1945
3026,Krakatau,Confirmed Eruption,2,Indonesia,Indonesia,Caldera,6.102°S,105.423°E,155,1945
3027,Rinjani,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,8.42°S,116.47°E,3726,1944
3028,Klyuchevskoy,Confirmed Eruption,3,Russia,Kamchatka and Mainland Asia,Stratovolcano,56.056°N,160.642°E,4754,1944
3029,Dieng Volcanic Complex,Confirmed Eruption,2,Indonesia,Indonesia,Complex,7.2°S,109.879°E,2565,1944
3030,Fuego,Confirmed Eruption,2,Guatemala,México and Central America,Stratovolcano,14.473°N,90.88°W,3763,1944
3031,Ioto,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",Caldera,24.751°N,141.289°E,169,1944
3032,Kurikomayama,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",Stratovolcano,38.961°N,140.788°E,1627,1944
3033,Sheveluch,Confirmed Eruption,2,Russia,Kamchatka and Mainland Asia,Stratovolcano,56.653°N,161.36°E,3283,1944
3034,Ruapehu,Confirmed Eruption,2,New Zealand,New Zealand to Fiji,Stratovolcano,39.28°S,175.57°E,2797,1944
3035,Esmeralda Bank,Uncertain Eruption,0,United States,"Japan, Taiwan, Marianas",Submarine,15°N,145.25°E,-43,1944
3036,Iliboleng,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,8.342°S,123.258°E,1659,1944
3037,Shikotsu,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",Caldera,42.688°N,141.38°E,1320,1944
3038,Raung,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,8.119°S,114.056°E,3260,1944
3039,Toya,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Stratovolcano,42.544°N,140.839°E,733,1944
3040,Cleveland,Confirmed Eruption,3,United States,Alaska,Stratovolcano,52.825°N,169.944°W,1730,1944
3041,Slamet,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,7.242°S,109.208°E,3428,1944
3042,"Fournaise, Piton de la",Confirmed Eruption,2,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632,1944
3043,Concepcion,Confirmed Eruption,2,Nicaragua,México and Central America,Stratovolcano,11.538°N,85.622°W,1700,1944
3044,Veniaminof,Confirmed Eruption,2,United States,Alaska,Stratovolcano,56.17°N,159.38°W,2507,1944
3045,Reventador,Confirmed Eruption,3,Ecuador,South America,Stratovolcano,0.077°S,77.656°W,3562,1944
3046,Asamayama,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Complex,36.406°N,138.523°E,2568,1944
3047,Milna,Uncertain Eruption,2,Russia,Kuril Islands,Stratovolcano,46.815°N,151.786°E,1504,1944
3048,Bam,Confirmed Eruption,2,Papua New Guinea,Melanesia and Australia,Stratovolcano,3.613°S,144.818°E,685,1944
3049,Monowai,Uncertain Eruption,0,New Zealand,New Zealand to Fiji,Submarine,25.887°S,177.188°W,-132,1944
3050,Krakatau,Confirmed Eruption,2,Indonesia,Indonesia,Caldera,6.102°S,105.423°E,155,1944
3051,Tungurahua,Uncertain Eruption,2,Ecuador,South America,Stratovolcano,1.467°S,78.442°W,5023,1944
3052,Llaima,Confirmed Eruption,2,Chile,South America,Stratovolcano,38.692°S,71.729°W,3125,1944
3053,Copahue,Confirmed Eruption,0,Chile-Argentina,South America,Stratovolcano,37.856°S,71.183°W,2953,1944
3054,Asosan,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Caldera,32.884°N,131.104°E,1592,1943
3055,Telica,Confirmed Eruption,2,Nicaragua,México and Central America,Stratovolcano,12.606°N,86.84°W,1036,1943
3056,Rabaul,Confirmed Eruption,2,Papua New Guinea,Melanesia and Australia,Pyroclastic shield,4.271°S,152.203°E,688,1943
3057,Dieng Volcanic Complex,Confirmed Eruption,1,Indonesia,Indonesia,Complex,7.2°S,109.879°E,2565,1943
3058,Kick 'em Jenny,Confirmed Eruption,0,Grenada,West Indies,Submarine,12.3°N,61.64°W,-185,1943
3059,Slamet,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,7.242°S,109.208°E,3428,1943
