Volcano Name,Eruption Type,Start Date,Max. VEI,Country,Volcanic_Region,Volcano_type,Latitude,Longitude,Summit
Hunter Island,Uncertain Eruption,1892,--,France,Melanesia and Australia,Stratovolcano,22.4°S,172.05°E,297
Tandikat-Singgalang,Uncertain Eruption,1892,--,Indonesia,Indonesia,Stratovolcano(es),0.39°S,100.331°E,2854
Bulusan,Confirmed Eruption,1892,2,Philippines,Philippines and SE Asia,Stratovolcano(es),12.769°N,124.056°E,1535
Pavlof,Confirmed Eruption,1892,2,United States,Alaska,Stratovolcano,55.417°N,161.894°W,2493
Asamayama,Uncertain Eruption,1892,--,Japan,"Japan, Taiwan, Marianas",Complex,36.406°N,138.523°E,2568
Llaima,Confirmed Eruption,1892,2,Chile,South America,Stratovolcano,38.692°S,71.729°W,3125
Melbourne,Confirmed Eruption,1892,--,Antarctica,Antarctica,Stratovolcano,74.35°S,164.7°E,2732
Seguam,Confirmed Eruption,1891 Dec,2,United States,Alaska,Stratovolcano(es),52.315°N,172.51°W,1054
Pantelleria,Uncertain Eruption,1891 Dec,--,Italy,Mediterranean and Western Asia,Shield,36.77°N,12.02°E,836
Kirishimayama,Confirmed Eruption,1891 Nov 10,2,Japan,"Japan, Taiwan, Marianas",Shield,31.934°N,130.862°E,1700
Grimsvotn,Confirmed Eruption,1891 Nov,2,Iceland,Iceland and Arctic Ocean,Caldera,64.416°N,17.316°W,1719
Pantelleria,Confirmed Eruption,1891 Oct 17,1,Italy,Mediterranean and Western Asia,Shield,36.77°N,12.02°E,836
Mayon,Confirmed Eruption,1891 Oct 3,2,Philippines,Philippines and SE Asia,Stratovolcano,13.257°N,123.685°E,2462
Asamayama,Confirmed Eruption,1891 Oct,--,Japan,"Japan, Taiwan, Marianas",Complex,36.406°N,138.523°E,2568
Lamongan,Confirmed Eruption,1891 Sep 25,2,Indonesia,Indonesia,Stratovolcano,7.981°S,113.341°E,1641
Merapi,Confirmed Eruption,1891 Aug 25,2,Indonesia,Indonesia,Stratovolcano,7.54°S,110.446°E,2910
Colima,Confirmed Eruption,1891 Jul,2,Mexico,México and Central America,Stratovolcano(es),19.514°N,103.62°W,3850
Kirishimayama,Confirmed Eruption,1891 Jun 19,2,Japan,"Japan, Taiwan, Marianas",Shield,31.934°N,130.862°E,1700
Concepcion,Confirmed Eruption,1891 Apr,2,Nicaragua,México and Central America,Stratovolcano,11.538°N,85.622°W,1700
Etna,Confirmed Eruption,1891 Feb 20,2,Italy,Mediterranean and Western Asia,Stratovolcano(es),37.748°N,14.999°E,3320
"Chillan, Nevados de",Confirmed Eruption,1891 Feb,2,Chile,South America,Stratovolcano,36.868°S,71.378°W,3180
San Pedro-San Pablo,Confirmed Eruption,1891,2,Chile,South America,Stratovolcano(es),21.888°S,68.391°W,6142
"Hudson, Cerro",Confirmed Eruption,1891,--,Chile,South America,Stratovolcano,45.9°S,72.97°W,1905
Izalco,Confirmed Eruption,1891,2,El Salvador,México and Central America,Stratovolcano,13.813°N,89.633°W,1950
Galeras,Confirmed Eruption,1891,2,Colombia,South America,Complex,1.22°N,77.37°W,4276
Nyiragongo,Confirmed Eruption,1891,--,DR Congo,Africa and Red Sea,Stratovolcano,1.52°S,29.25°E,3470
Visoke,Confirmed Eruption,1891,--,DR Congo-Rwanda,Africa and Red Sea,Stratovolcano,1.458°S,29.485°E,3696
Gede-Pangrango,Confirmed Eruption,1891,2,Indonesia,Indonesia,Stratovolcano(es),6.77°S,106.965°E,3008
Almolonga,Discredited Eruption,1891,--,Guatemala,México and Central America,Stratovolcano,14.797°N,91.519°W,3173
Akita-Komagatake,Confirmed Eruption,1890 Dec,2,Japan,"Japan, Taiwan, Marianas",Stratovolcano(es),39.761°N,140.799°E,1637
Banda Api,Confirmed Eruption,1890 Nov 23,2,Indonesia,Indonesia,Caldera,4.523°S,129.881°E,596
Colima,Confirmed Eruption,1890 Nov 18,2,Mexico,México and Central America,Stratovolcano(es),19.514°N,103.62°W,3850
Akita-Yakeyama,Confirmed Eruption,1890 Sep 23,2,Japan,"Japan, Taiwan, Marianas",Stratovolcano,39.964°N,140.757°E,1366
Mayon,Confirmed Eruption,1890 Sep 10,2,Philippines,Philippines and SE Asia,Stratovolcano,13.257°N,123.685°E,2462
Lamongan,Confirmed Eruption,1890 Sep 5,2,Indonesia,Indonesia,Stratovolcano,7.981°S,113.341°E,1641
Mono Lake Volcanic Field,Uncertain Eruption,1890 Aug 23,--,United States,Canada and Western USA,Pyroclastic cone(s),38°N,119.03°W,2121
Nikko-Shiranesan,Confirmed Eruption,1890 Aug 22,1,Japan,"Japan, Taiwan, Marianas",Shield,36.799°N,139.376°E,2578
Slamet,Confirmed Eruption,1890 Aug 6,2,Indonesia,Indonesia,Stratovolcano,7.242°S,109.208°E,3428
Raung,Confirmed Eruption,1890 Jul,2,Indonesia,Indonesia,Stratovolcano,8.119°S,114.056°E,3260
Makian,Confirmed Eruption,1890 Jun 20,2,Indonesia,Indonesia,Stratovolcano,0.32°N,127.4°E,1357
Shiretoko-Iozan,Confirmed Eruption,1890 Jun 15,1,Japan,"Japan, Taiwan, Marianas",Stratovolcano,44.133°N,145.161°E,1562
Tengger Caldera,Confirmed Eruption,1890 May,2,Indonesia,Indonesia,Stratovolcano(es),7.942°S,112.95°E,2329
Etna,Confirmed Eruption,1890 May,2,Italy,Mediterranean and Western Asia,Stratovolcano(es),37.748°N,14.999°E,3320
Klyuchevskoy,Confirmed Eruption,1890 Apr,2,Russia,Kamchatka and Mainland Asia,Stratovolcano,56.056°N,160.642°E,4754
Ushkovsky,Confirmed Eruption,1890 Apr,2,Russia,Kamchatka and Mainland Asia,Compound,56.113°N,160.509°E,3943
Izalco,Confirmed Eruption,1890 Mar 26,0,El Salvador,México and Central America,Stratovolcano,13.813°N,89.633°W,1950
Lamongan,Confirmed Eruption,1890 Mar 23,2,Indonesia,Indonesia,Stratovolcano,7.981°S,113.341°E,1641
Tongariro,Uncertain Eruption,1890 Mar,1,New Zealand,New Zealand to Fiji,Stratovolcano(es),39.157°S,175.632°E,1978
"Fournaise, Piton de la",Confirmed Eruption,1890 Feb,2,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632
Stromboli,Confirmed Eruption,1890,3,Italy,Mediterranean and Western Asia,Stratovolcano,38.789°N,15.213°E,924
Victory,Confirmed Eruption,1890,2,Papua New Guinea,Melanesia and Australia,Stratovolcano,9.2°S,149.07°E,1925
Langila,Confirmed Eruption,1890,0,Papua New Guinea,Melanesia and Australia,Complex,5.525°S,148.42°E,1330
Soputan,Confirmed Eruption,1890,2,Indonesia,Indonesia,Stratovolcano,1.112°N,124.737°E,1785
Southern EPR-Segment J,Confirmed Eruption,1890,0,Undersea Features,Hawaii and Pacific Ocean,Submarine,18.175°S,113.35°W,-2650
Koryaksky,Confirmed Eruption,1890,1,Russia,Kamchatka and Mainland Asia,Stratovolcano,53.321°N,158.712°E,3430
Zaozan [Zaosan],Uncertain Eruption,1890,1,Japan,"Japan, Taiwan, Marianas",Complex,38.144°N,140.44°E,1841
San Miguel,Confirmed Eruption,1890,2,El Salvador,México and Central America,Stratovolcano,13.434°N,88.269°W,2130
Huequi,Confirmed Eruption,1890,3,Chile,South America,Lava dome(s),42.377°S,72.578°W,1318
Villarrica,Confirmed Eruption,1890,2,Chile,South America,Stratovolcano,39.42°S,71.93°W,2847
Ioto,Confirmed Eruption,1889 Dec 31,1,Japan,"Japan, Taiwan, Marianas",Caldera,24.751°N,141.289°E,169
Asamayama,Confirmed Eruption,1889 Dec 24,2,Japan,"Japan, Taiwan, Marianas",Complex,36.406°N,138.523°E,2568
Kirishimayama,Confirmed Eruption,1889 Dec 10,2,Japan,"Japan, Taiwan, Marianas",Shield,31.934°N,130.862°E,1700
Nikko-Shiranesan,Confirmed Eruption,1889 Dec 4,1,Japan,"Japan, Taiwan, Marianas",Shield,36.799°N,139.376°E,2578
Suwanosejima,Confirmed Eruption,1889 Oct 2,4,Japan,"Japan, Taiwan, Marianas",Stratovolcano(es),29.638°N,129.714°E,796
Lamongan,Confirmed Eruption,1889 Sep 7,2,Indonesia,Indonesia,Stratovolcano,7.981°S,113.341°E,1641
Banua Wuhu,Confirmed Eruption,1889 Sep 6,2,Indonesia,Indonesia,Submarine,3.138°N,125.491°E,-5
Planchon-Peteroa,Confirmed Eruption,1889 Sep,2,Chile,South America,Stratovolcano(es),35.223°S,70.568°W,3977
Shiretoko-Iozan,Confirmed Eruption,1889 Aug 9,2,Japan,"Japan, Taiwan, Marianas",Stratovolcano,44.133°N,145.161°E,1562
Colima,Confirmed Eruption,1889 Aug 9,4,Mexico,México and Central America,Stratovolcano(es),19.514°N,103.62°W,3850
Galeras,Confirmed Eruption,1889 Jul 3,2,Colombia,South America,Complex,1.22°N,77.37°W,4276
Merapi,Confirmed Eruption,1889 Jul,1,Indonesia,Indonesia,Stratovolcano,7.54°S,110.446°E,2910
Ruang,Confirmed Eruption,1889 Jun,1,Indonesia,Indonesia,Stratovolcano,2.3°N,125.37°E,725
"Fournaise, Piton de la",Confirmed Eruption,1889 Jun,2,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632
Gede-Pangrango,Uncertain Eruption,1889 May 8,1,Indonesia,Indonesia,Stratovolcano(es),6.77°S,106.965°E,3008
Ruapehu,Confirmed Eruption,1889 May 1,2,New Zealand,New Zealand to Fiji,Stratovolcano,39.28°S,175.57°E,2797
Llaima,Confirmed Eruption,1889 Apr 20,2,Chile,South America,Stratovolcano,38.692°S,71.729°W,3125
Marapi,Confirmed Eruption,1889 Mar 27,2,Indonesia,Indonesia,Complex,0.38°S,100.474°E,2885
Irazu,Discredited Eruption,1889 Feb 28,--,Costa Rica,México and Central America,Stratovolcano,9.979°N,83.852°W,3432
Tandikat-Singgalang,Confirmed Eruption,1889 Feb 19,1,Indonesia,Indonesia,Stratovolcano(es),0.39°S,100.331°E,2854
Semeru,Confirmed Eruption,1889 Jan,2,Indonesia,Indonesia,Stratovolcano,8.108°S,112.922°E,3657
Lewotobi,Confirmed Eruption,1889,2,Indonesia,Indonesia,Stratovolcano(es),8.542°S,122.775°E,1703
Bulusan,Confirmed Eruption,1889,--,Philippines,Philippines and SE Asia,Stratovolcano(es),12.769°N,124.056°E,1535
Tokachidake,Confirmed Eruption,1889,2,Japan,"Japan, Taiwan, Marianas",Stratovolcano(es),43.418°N,142.686°E,2077
San Jose,Confirmed Eruption,1889,2,Chile-Argentina,South America,Stratovolcano(es),33.789°S,69.895°W,6070
Tupungatito,Confirmed Eruption,1889,2,Chile-Argentina,South America,Stratovolcano,33.425°S,69.797°W,5660
Mayon,Confirmed Eruption,1888 Dec 15,1,Philippines,Philippines and SE Asia,Stratovolcano,13.257°N,123.685°E,2462
Iya,Uncertain Eruption,1888 Dec,--,Indonesia,Indonesia,Stratovolcano,8.891°S,121.641°E,618
Nisyros,Confirmed Eruption,1888 Sep 25,2,Greece,Mediterranean and Western Asia,Stratovolcano,36.586°N,27.16°E,698
Lamongan,Confirmed Eruption,1888 Sep,2,Indonesia,Indonesia,Stratovolcano,7.981°S,113.341°E,1641
Merapi,Confirmed Eruption,1888 Aug 18,2,Indonesia,Indonesia,Stratovolcano,7.54°S,110.446°E,2910
Vulcano,Confirmed Eruption,1888 Aug 2,3,Italy,Mediterranean and Western Asia,Stratovolcano(es),38.404°N,14.962°E,500
Bandaisan,Confirmed Eruption,1888 Jul 15,4,Japan,"Japan, Taiwan, Marianas",Stratovolcano,37.601°N,140.072°E,1816
Batur,Confirmed Eruption,1888 May 30,2,Indonesia,Indonesia,Caldera,8.242°S,115.375°E,1717
Hokkaido-Komagatake,Confirmed Eruption,1888 Apr 14,2,Japan,"Japan, Taiwan, Marianas",Stratovolcano,42.063°N,140.677°E,1131
Etna,Confirmed Eruption,1888 Apr 13,2,Italy,Mediterranean and Western Asia,Stratovolcano(es),37.748°N,14.999°E,3320
Fernandina,Confirmed Eruption,1888 Apr 10,1,Ecuador,South America,Shield,0.37°S,91.55°W,1476
Ritter Island,Confirmed Eruption,1888 Mar 13,2,Papua New Guinea,Melanesia and Australia,Stratovolcano,5.519°S,148.115°E,75
Tengger Caldera,Uncertain Eruption,1888 Feb 27,2,Indonesia,Indonesia,Stratovolcano(es),7.942°S,112.95°E,2329
Ambrym,Confirmed Eruption,1888 Feb 24,2,Vanuatu,Melanesia and Australia,Pyroclastic shield,16.25°S,168.12°E,1334
Kirishimayama,Confirmed Eruption,1888 Feb 21,2,Japan,"Japan, Taiwan, Marianas",Shield,31.934°N,130.862°E,1700
Marapi,Confirmed Eruption,1888 Feb 19,2,Indonesia,Indonesia,Complex,0.38°S,100.474°E,2885
Sorikmarapi,Uncertain Eruption,1888 Feb,--,Indonesia,Indonesia,Stratovolcano,0.686°N,99.539°E,2145
Semeru,Confirmed Eruption,1888 Feb,2,Indonesia,Indonesia,Stratovolcano,8.108°S,112.922°E,3657
Poas,Confirmed Eruption,1888 Jan,1,Costa Rica,México and Central America,Stratovolcano,10.2°N,84.233°W,2697
Egon,Uncertain Eruption,1888,2,Indonesia,Indonesia,Stratovolcano,8.676°S,122.455°E,1661
Iliboleng,Confirmed Eruption,1888,2,Indonesia,Indonesia,Stratovolcano,8.342°S,123.258°E,1659
Ebulobo,Confirmed Eruption,1888,2,Indonesia,Indonesia,Stratovolcano,8.817°S,121.191°E,2096
Gede-Pangrango,Confirmed Eruption,1888,2,Indonesia,Indonesia,Stratovolcano(es),6.77°S,106.965°E,3008
Bam,Uncertain Eruption,1888,--,Papua New Guinea,Melanesia and Australia,Stratovolcano,3.613°S,144.818°E,685
South Island,Confirmed Eruption,1888,1,Kenya,Africa and Red Sea,Stratovolcano,2.63°N,36.6°E,800
"Barrier, The",Confirmed Eruption,1888,0,Kenya,Africa and Red Sea,Shield,2.32°N,36.57°E,1032
Macauley,Uncertain Eruption,1887 Dec 1,0,New Zealand,New Zealand to Fiji,Caldera,30.21°S,178.475°W,238
Alamagan,Uncertain Eruption,1887 Nov 29,--,United States,"Japan, Taiwan, Marianas",Stratovolcano,17.6°N,145.83°E,744
Sundoro,Confirmed Eruption,1887 Nov 13,2,Indonesia,Indonesia,Stratovolcano,7.3°S,109.992°E,3136
Lamongan,Confirmed Eruption,1887 Nov,2,Indonesia,Indonesia,Stratovolcano,7.981°S,113.341°E,1641
Gede-Pangrango,Confirmed Eruption,1887 Oct 22,2,Indonesia,Indonesia,Stratovolcano(es),6.77°S,106.965°E,3008
Ranau,Uncertain Eruption,1887 Oct 7,--,Indonesia,Indonesia,Caldera,4.871°S,103.925°E,1854
Shikotsu,Confirmed Eruption,1887 Sep 3,2,Japan,"Japan, Taiwan, Marianas",Caldera,42.688°N,141.38°E,1320
Thordarhyrna,Confirmed Eruption,1887 Aug 15,2,Iceland,Iceland and Arctic Ocean,Stratovolcano,64.267°N,17.617°W,1650
Semeru,Confirmed Eruption,1887 Aug,2,Indonesia,Indonesia,Stratovolcano,8.108°S,112.922°E,3657
Lamongan,Confirmed Eruption,1887 Jul 3,2,Indonesia,Indonesia,Stratovolcano,7.981°S,113.341°E,1641
Lonquimay,Confirmed Eruption,1887 Jun 2,3,Chile,South America,Stratovolcano,38.379°S,71.586°W,2832
Manam,Confirmed Eruption,1887 Jun,2,Papua New Guinea,Melanesia and Australia,Stratovolcano,4.08°S,145.037°E,1807
Tokachidake,Confirmed Eruption,1887 Jun,2,Japan,"Japan, Taiwan, Marianas",Stratovolcano(es),43.418°N,142.686°E,2077
Etna,Confirmed Eruption,1887 May 31,1,Italy,Mediterranean and Western Asia,Stratovolcano(es),37.748°N,14.999°E,3320
Karangetang,Confirmed Eruption,1887 May 27,2,Indonesia,Indonesia,Stratovolcano,2.781°N,125.407°E,1797
Kirishimayama,Confirmed Eruption,1887 May,2,Japan,"Japan, Taiwan, Marianas",Shield,31.934°N,130.862°E,1700
Kerinci,Confirmed Eruption,1887 Mar 23,2,Indonesia,Indonesia,Stratovolcano,1.697°S,101.264°E,3800
Ritter Island,Confirmed Eruption,1887 Feb 2,2,Papua New Guinea,Melanesia and Australia,Stratovolcano,5.519°S,148.115°E,75
Semeru,Confirmed Eruption,1887 Feb,2,Indonesia,Indonesia,Stratovolcano,8.108°S,112.922°E,3657
Mauna Loa,Confirmed Eruption,1887 Jan 16,0,United States,Hawaii and Pacific Ocean,Shield,19.475°N,155.608°W,4170
Llaima,Confirmed Eruption,1887 Jan 16,2,Chile,South America,Stratovolcano,38.692°S,71.729°W,3125
Izalco,Confirmed Eruption,1887,2,El Salvador,México and Central America,Stratovolcano,13.813°N,89.633°W,1950
Colima,Confirmed Eruption,1887,0,Mexico,México and Central America,Stratovolcano(es),19.514°N,103.62°W,3850
Akutan,Confirmed Eruption,1887,0,United States,Alaska,Stratovolcano,54.134°N,165.986°W,1303
Akita-Yakeyama,Confirmed Eruption,1887,2,Japan,"Japan, Taiwan, Marianas",Stratovolcano,39.964°N,140.757°E,1366
Guntur,Uncertain Eruption,1887,--,Indonesia,Indonesia,Complex,7.143°S,107.84°E,2249
Niuafo'ou,Confirmed Eruption,1887,2,Tonga,New Zealand to Fiji,Shield,15.6°S,175.63°W,260
Musuan,Uncertain Eruption,1886 Dec 31,1,Philippines,Philippines and SE Asia,Lava dome,7.877°N,125.068°E,646
Tengger Caldera,Confirmed Eruption,1886 Nov 11,2,Indonesia,Indonesia,Stratovolcano(es),7.942°S,112.95°E,2329
Whakaari/White Island,Confirmed Eruption,1886 Sep 16,2,New Zealand,New Zealand to Fiji,Stratovolcano(es),37.52°S,177.18°E,294
Niuafo'ou,Confirmed Eruption,1886 Aug 31,4,Tonga,New Zealand to Fiji,Shield,15.6°S,175.63°W,260
Mayon,Confirmed Eruption,1886 Jul 8,3,Philippines,Philippines and SE Asia,Stratovolcano,13.257°N,123.685°E,2462
Ambrym,Confirmed Eruption,1886 Jul,2,Vanuatu,Melanesia and Australia,Pyroclastic shield,16.25°S,168.12°E,1334
Whakaari/White Island,Uncertain Eruption,1886 Jun 10,2,New Zealand,New Zealand to Fiji,Stratovolcano(es),37.52°S,177.18°E,294
Okataina,Confirmed Eruption,1886 Jun 10,5,New Zealand,New Zealand to Fiji,Lava dome(s),38.12°S,176.5°E,1111
Gede-Pangrango,Confirmed Eruption,1886 Jun 10,2,Indonesia,Indonesia,Stratovolcano(es),6.77°S,106.965°E,3008
Tongariro,Confirmed Eruption,1886 Jun,2,New Zealand,New Zealand to Fiji,Stratovolcano(es),39.157°S,175.632°E,1978
Momotombo,Confirmed Eruption,1886 May 19,2,Nicaragua,México and Central America,Stratovolcano,12.423°N,86.539°W,1270
Etna,Confirmed Eruption,1886 May 18,3,Italy,Mediterranean and Western Asia,Stratovolcano(es),37.748°N,14.999°E,3320
Karangetang,Confirmed Eruption,1886 Apr 25,2,Indonesia,Indonesia,Stratovolcano,2.781°N,125.407°E,1797
Tengger Caldera,Confirmed Eruption,1886 Apr 15,2,Indonesia,Indonesia,Stratovolcano(es),7.942°S,112.95°E,2329
Shikotsu,Confirmed Eruption,1886 Apr 13,2,Japan,"Japan, Taiwan, Marianas",Caldera,42.688°N,141.38°E,1320
Marapi,Confirmed Eruption,1886 Mar 31,2,Indonesia,Indonesia,Complex,0.38°S,100.474°E,2885
Raoul Island,Confirmed Eruption,1886 Mar,0,New Zealand,New Zealand to Fiji,Stratovolcano,29.27°S,177.92°W,516
Semeru,Confirmed Eruption,1886 Jan 25,2,Indonesia,Indonesia,Stratovolcano,8.108°S,112.922°E,3657
Tungurahua,Confirmed Eruption,1886 Jan 11,4,Ecuador,South America,Stratovolcano,1.467°S,78.442°W,5023
Vulcano,Confirmed Eruption,1886 Jan 5,3,Italy,Mediterranean and Western Asia,Stratovolcano(es),38.404°N,14.962°E,500
Cotopaxi,Confirmed Eruption,1886 Jan,2,Ecuador,South America,Stratovolcano,0.677°S,78.436°W,5911
Irazu,Confirmed Eruption,1886,2,Costa Rica,México and Central America,Stratovolcano,9.979°N,83.852°W,3432
Meru,Confirmed Eruption,1886,0,Tanzania,Africa and Red Sea,Stratovolcano,3.244°S,36.75°E,4550
Lateiki,Confirmed Eruption,1886,2,Tonga,New Zealand to Fiji,Submarine,19.18°S,174.87°W,43
Tinakula,Confirmed Eruption,1886,--,Solomon Islands,Melanesia and Australia,Stratovolcano,10.386°S,165.804°E,796
Bamus,Confirmed Eruption,1886,3,Papua New Guinea,Melanesia and Australia,Stratovolcano,5.2°S,151.23°E,2248
Bulusan,Confirmed Eruption,1886,2,Philippines,Philippines and SE Asia,Stratovolcano(es),12.769°N,124.056°E,1535
Pavlof,Confirmed Eruption,1886,2,United States,Alaska,Stratovolcano,55.417°N,161.894°W,2493
Colima,Confirmed Eruption,1885 Dec 26,3,Mexico,México and Central America,Stratovolcano(es),19.514°N,103.62°W,3850
Pacaya,Confirmed Eruption,1885 Dec,2,Guatemala,México and Central America,Complex,14.382°N,90.601°W,2569
Lawu,Confirmed Eruption,1885 Nov 28,1,Indonesia,Indonesia,Stratovolcano,7.625°S,111.192°E,3265
Mayon,Confirmed Eruption,1885 Nov 21,2,Philippines,Philippines and SE Asia,Stratovolcano,13.257°N,123.685°E,2462
Marapi,Confirmed Eruption,1885 Nov 12,2,Indonesia,Indonesia,Complex,0.38°S,100.474°E,2885
Tengger Caldera,Confirmed Eruption,1885 Oct 31,2,Indonesia,Indonesia,Stratovolcano(es),7.942°S,112.95°E,2329
Fonuafo'ou,Confirmed Eruption,1885 Oct 12,3,Tonga,New Zealand to Fiji,Submarine,20.32°S,175.42°W,-17
Tofua,Confirmed Eruption,1885 Oct,2,Tonga,New Zealand to Fiji,Caldera,19.75°S,175.07°W,515
Whakaari/White Island,Confirmed Eruption,1885 Oct,2,New Zealand,New Zealand to Fiji,Stratovolcano(es),37.52°S,177.18°E,294
Momotombo,Uncertain Eruption,1885 Oct,1,Nicaragua,México and Central America,Stratovolcano,12.423°N,86.539°W,1270
Iliboleng,Confirmed Eruption,1885 Sep,2,Indonesia,Indonesia,Stratovolcano,8.342°S,123.258°E,1659
Awu,Confirmed Eruption,1885 Aug 18,2,Indonesia,Indonesia,Stratovolcano,3.689°N,125.447°E,1318
Cotopaxi,Confirmed Eruption,1885 Jul 23,2,Ecuador,South America,Stratovolcano,0.677°S,78.436°W,5911
Raung,Confirmed Eruption,1885 Jun 21,2,Indonesia,Indonesia,Stratovolcano,8.119°S,114.056°E,3260
Tengger Caldera,Confirmed Eruption,1885 Jun,2,Indonesia,Indonesia,Stratovolcano(es),7.942°S,112.95°E,2329
Purace,Confirmed Eruption,1885 May 25,3,Colombia,South America,Stratovolcano(es),2.32°N,76.4°W,4650
Bam,Uncertain Eruption,1885 May 20,--,Papua New Guinea,Melanesia and Australia,Stratovolcano,3.613°S,144.818°E,685
Manam,Confirmed Eruption,1885 May,--,Papua New Guinea,Melanesia and Australia,Stratovolcano,4.08°S,145.037°E,1807
Slamet,Confirmed Eruption,1885 Mar 21,2,Indonesia,Indonesia,Stratovolcano,7.242°S,109.208°E,3428
Lamongan,Confirmed Eruption,1885 Mar 11,2,Indonesia,Indonesia,Stratovolcano,7.981°S,113.341°E,1641
Merapi,Confirmed Eruption,1885 Feb 24,1,Indonesia,Indonesia,Stratovolcano,7.54°S,110.446°E,2910
Guntur,Uncertain Eruption,1885 Jan 18,--,Indonesia,Indonesia,Complex,7.143°S,107.84°E,2249
Ritter Island,Uncertain Eruption,1885 Jan 13,--,Papua New Guinea,Melanesia and Australia,Stratovolcano,5.519°S,148.115°E,75
Shikotsu,Confirmed Eruption,1885 Jan 4,2,Japan,"Japan, Taiwan, Marianas",Caldera,42.688°N,141.38°E,1320
Whakaari/White Island,Uncertain Eruption,1885 Jan,2,New Zealand,New Zealand to Fiji,Stratovolcano(es),37.52°S,177.18°E,294
Gede-Pangrango,Uncertain Eruption,1885 Jan,2,Indonesia,Indonesia,Stratovolcano(es),6.77°S,106.965°E,3008
Suwanosejima,Confirmed Eruption,1885 Jan,2,Japan,"Japan, Taiwan, Marianas",Stratovolcano(es),29.638°N,129.714°E,796
Tungurahua,Confirmed Eruption,1885 Jan,2,Ecuador,South America,Stratovolcano,1.467°S,78.442°W,5023
Irazu,Confirmed Eruption,1885,2,Costa Rica,México and Central America,Stratovolcano,9.979°N,83.852°W,3432
Izalco,Confirmed Eruption,1885,2,El Salvador,México and Central America,Stratovolcano,13.813°N,89.633°W,1950
Isluga,Confirmed Eruption,1885,1,Chile,South America,Stratovolcano,19.15°S,68.83°W,5550
Taal,Uncertain Eruption,1885,--,Philippines,Philippines and SE Asia,Caldera,14.002°N,120.993°E,311
Gamkonora,Confirmed Eruption,1885,2,Indonesia,Indonesia,Stratovolcano,1.38°N,127.53°E,1635
Tongariro,Confirmed Eruption,1885,1,New Zealand,New Zealand to Fiji,Stratovolcano(es),39.157°S,175.632°E,1978
Karkar,Confirmed Eruption,1885,2,Papua New Guinea,Melanesia and Australia,Stratovolcano,4.649°S,145.964°E,1839
Semeru,Confirmed Eruption,1884 Dec 10,2,Indonesia,Indonesia,Stratovolcano,8.108°S,112.922°E,3657
Gamalama,Uncertain Eruption,1884 Dec 8,1,Indonesia,Indonesia,Stratovolcano(es),0.8°N,127.33°E,1715
Wrangell,Uncertain Eruption,1884 Oct 26,2,United States,Alaska,Shield,62.006°N,144.017°W,4278
Rinjani,Confirmed Eruption,1884 Aug 8,2,Indonesia,Indonesia,Stratovolcano,8.42°S,116.47°E,3726
Eldey,Uncertain Eruption,1884 Jul 26,2,Iceland,Iceland and Arctic Ocean,Submarine,63.733°N,23°W,70
Ushishur,Confirmed Eruption,1884 Jul,1,Russia,Kuril Islands,Caldera,47.52°N,152.8°E,401
Dempo,Confirmed Eruption,1884 Jun,2,Indonesia,Indonesia,Stratovolcano(es),4.016°S,103.121°E,3142
Gamalama,Confirmed Eruption,1884 May,2,Indonesia,Indonesia,Stratovolcano(es),0.8°N,127.33°E,1715
Kanlaon,Uncertain Eruption,1884 May,2,Philippines,Philippines and SE Asia,Stratovolcano,10.412°N,123.132°E,2435
Asosan,Confirmed Eruption,1884 Mar 21,2,Japan,"Japan, Taiwan, Marianas",Caldera,32.884°N,131.104°E,1592
Izalco,Confirmed Eruption,1884 Mar 9,2,El Salvador,México and Central America,Stratovolcano,13.813°N,89.633°W,1950
Santa Ana,Confirmed Eruption,1884 Mar 9,2,El Salvador,México and Central America,Stratovolcano,13.853°N,89.63°W,2381
"Fournaise, Piton de la",Confirmed Eruption,1884 Feb 4,0,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632
San Miguel,Confirmed Eruption,1884 Jan 25,2,El Salvador,México and Central America,Stratovolcano,13.434°N,88.269°W,2130
Kilauea,Confirmed Eruption,1884 Jan 22,0,United States,Hawaii and Pacific Ocean,Shield,19.421°N,155.287°W,1222
Lamongan,Confirmed Eruption,1884 Jan 6,2,Indonesia,Indonesia,Stratovolcano,7.981°S,113.341°E,1641
Suwanosejima,Confirmed Eruption,1884,1,Japan,"Japan, Taiwan, Marianas",Stratovolcano(es),29.638°N,129.714°E,796
Nyiragongo,Confirmed Eruption,1884,1,DR Congo,Africa and Red Sea,Stratovolcano,1.52°S,29.25°E,3470
Etna,Confirmed Eruption,1884,1,Italy,Mediterranean and Western Asia,Stratovolcano(es),37.748°N,14.999°E,3320
Langila,Confirmed Eruption,1884,2,Papua New Guinea,Melanesia and Australia,Complex,5.525°S,148.42°E,1330
Ambrym,Confirmed Eruption,1884,2,Vanuatu,Melanesia and Australia,Pyroclastic shield,16.25°S,168.12°E,1334
Manam,Uncertain Eruption,1884,--,Papua New Guinea,Melanesia and Australia,Stratovolcano,4.08°S,145.037°E,1807
Bam,Discredited Eruption,1884,--,Papua New Guinea,Melanesia and Australia,Stratovolcano,3.613°S,144.818°E,685
