Volcano Name,Eruption Type,Start Date,Max. VEI,Country,Volcanic_Region,Volcano_type,Latitude,Longitude,Summit
Telica,Confirmed Eruption,1999 May 21,2,Nicaragua,México and Central America,Stratovolcano(es),12.606°N,86.84°W,1036
Fuego,Confirmed Eruption,1999 May 21,2,Guatemala,México and Central America,Stratovolcano(es),14.473°N,90.88°W,3763
Tinakula,Confirmed Eruption,1999 May 16,1,Solomon Islands,Melanesia and Australia,Stratovolcano,10.386°S,165.804°E,796
Wrangell,Uncertain Eruption,1999 May 14,1,United States,Alaska,Shield,62.006°N,144.017°W,4278
Slamet,Confirmed Eruption,1999 May 1,1,Indonesia,Indonesia,Stratovolcano,7.242°S,109.208°E,3428
San Cristobal,Confirmed Eruption,1999 May 1,2,Nicaragua,México and Central America,Stratovolcano,12.702°N,87.004°W,1745
Marapi,Confirmed Eruption,1999 Apr 16,2,Indonesia,Indonesia,Complex,0.38°S,100.474°E,2885
East Gakkel Ridge at 85°E,Confirmed Eruption,1999 Apr 5,2,Undersea Features,Iceland and Arctic Ocean,Submarine,85.608°N,85.25°E,-3800
Sheveluch,Confirmed Eruption,1999 Apr 3,2,Russia,Kamchatka and Mainland Asia,Stratovolcano,56.653°N,161.36°E,3283
Lewotobi,Confirmed Eruption,1999 Mar 31,2,Indonesia,Indonesia,Stratovolcano(es),8.542°S,122.775°E,1703
Cameroon,Confirmed Eruption,1999 Mar 28,2,Cameroon,Africa and Red Sea,Stratovolcano,4.203°N,9.17°E,4095
Kerinci,Confirmed Eruption,1999 Mar 16,2,Indonesia,Indonesia,Stratovolcano,1.697°S,101.264°E,3800
Karangetang,Confirmed Eruption,1999 Mar 16,3,Indonesia,Indonesia,Stratovolcano,2.781°N,125.407°E,1797
Batur,Confirmed Eruption,1999 Mar 15,1,Indonesia,Indonesia,Caldera,8.242°S,115.375°E,1717
Shishaldin,Confirmed Eruption,1999 Mar 13,3,United States,Alaska,Stratovolcano,54.756°N,163.97°W,2857
Peuet Sague,Confirmed Eruption,1999 Mar 9,1,Indonesia,Indonesia,Complex,4.903°N,96.289°E,2785
Bezymianny,Confirmed Eruption,1999 Feb 25,2,Russia,Kamchatka and Mainland Asia,Stratovolcano,55.972°N,160.595°E,2882
Kavachi,Confirmed Eruption,1999 Feb 16,1,Solomon Islands,Melanesia and Australia,Submarine,8.991°S,157.979°E,-20
Krakatau,Confirmed Eruption,1999 Feb 5,2,Indonesia,Indonesia,Caldera,6.102°S,105.423°E,155
Klyuchevskoy,Confirmed Eruption,1999 Feb 5,2,Russia,Kamchatka and Mainland Asia,Stratovolcano,56.056°N,160.642°E,4754
Epi,Confirmed Eruption,1999 Feb 1,1,Vanuatu,Melanesia and Australia,Stratovolcano(es),16.68°S,168.37°E,833
Saunders,Confirmed Eruption,1999 Jan 19,0,United Kingdom,Antarctica,Stratovolcano,57.8°S,26.483°W,843
Unnamed,Confirmed Eruption,1999 Jan 8,1,Tonga,New Zealand to Fiji,Submarine,20.852°S,175.55°W,-296
Suwanosejima,Confirmed Eruption,1999 Jan 5,1,Japan,"Japan, Taiwan, Marianas",Stratovolcano(es),29.638°N,129.714°E,796
Ibu,Confirmed Eruption,1998 Dec 18,2,Indonesia,Indonesia,Stratovolcano,1.488°N,127.63°E,1325
Grimsvotn,Confirmed Eruption,1998 Dec 18,3,Iceland,Iceland and Arctic Ocean,Caldera,64.416°N,17.316°W,1719
Terceira,Confirmed Eruption,1998 Nov 25,0,Portugal,Atlantic Ocean,Stratovolcano(es),38.73°N,27.32°W,1023
Planchon-Peteroa,Confirmed Eruption,1998 Nov 18,1,Chile,South America,Stratovolcano(es),35.223°S,70.568°W,3977
Llaima,Confirmed Eruption,1998 Nov 10,2,Chile,South America,Stratovolcano,38.692°S,71.729°W,3125
Akan,Confirmed Eruption,1998 Nov 9,1,Japan,"Japan, Taiwan, Marianas",Caldera,43.384°N,144.013°E,1499
Shishaldin,Confirmed Eruption,1998 Nov 4,1,United States,Alaska,Stratovolcano,54.756°N,163.97°W,2857
Kerinci,Confirmed Eruption,1998 Nov 3,2,Indonesia,Indonesia,Stratovolcano,1.697°S,101.264°E,3800
Kita-Ioto,Uncertain Eruption,1998 Oct 27,0,Japan,"Japan, Taiwan, Marianas",Stratovolcano,25.424°N,141.284°E,792
Sumisujima,Uncertain Eruption,1998 Oct 27,0,Japan,"Japan, Taiwan, Marianas",Submarine,31.44°N,140.051°E,136
Hokkaido-Komagatake,Confirmed Eruption,1998 Oct 25,2,Japan,"Japan, Taiwan, Marianas",Stratovolcano,42.063°N,140.677°E,1131
